ORF	ProteinID	LocusTag
cds2819	WP_003579112.1	RPHASCH2410_CH02770
cds2820	WP_016732974.1	RPHASCH2410_CH02775
cds2823	WP_016732977.1	RPHASCH2410_CH02790
cds2832	end_range=532190,.	
cds2833	gbkey=CDS	
cds2834	WP_016732989.1	RPHASCH2410_CH02845
cds2839	WP_016732994.1	RPHASCH2410_CH02870
cds2841	WP_016732996.1	RPHASCH2410_CH02880
cds2844	WP_016732999.1	RPHASCH2410_CH02895
cds2845	WP_012483744.1	RPHASCH2410_CH02900
cds2847	WP_016733002.1	RPHASCH2410_CH02910
cds2848	WP_004673807.1	RPHASCH2410_CH02915
cds2849	WP_046977064.1	RPHASCH2410_CH02920
cds2850	gbkey=CDS	RPHASCH2410_CH02925
cds2851	WP_012483749.1	RPHASCH2410_CH02930
cds2853	WP_016733006.1	RPHASCH2410_CH02940
cds2854	WP_012483752.1	RPHASCH2410_CH02945
cds2855	WP_016733007.1	RPHASCH2410_CH02950
cds2868	WP_016733018.1	RPHASCH2410_CH03020
cds2877	WP_004673781.1	RPHASCH2410_CH03065
cds2880	WP_004673778.1	RPHASCH2410_CH03080
cds2881	WP_020465354.1	RPHASCH2410_CH03085
cds2886	WP_016733030.1	RPHASCH2410_CH03110
cds2889	WP_004680228.1	RPHASCH2410_CH03125
cds2896	WP_004680220.1	RPHASCH2410_CH03160
cds2907	WP_016733043.1	RPHASCH2410_CH03225
cds2908	WP_004671912.1	RPHASCH2410_CH03230
cds2915	WP_016733047.1	RPHASCH2410_CH03265
cds2916	WP_029531198.1	RPHASCH2410_CH03270
cds2943	WP_016733074.1	RPHASCH2410_CH03410
cds2959	WP_004671683.1	RPHASCH2410_CH03495
cds2962	WP_016733090.1	RPHASCH2410_CH03510
cds2969	WP_016733097.1	RPHASCH2410_CH03550
cds2985	WP_016733108.1	RPHASCH2410_CH03630
cds2989	WP_016733112.1	RPHASCH2410_CH03650
cds2990	WP_016733113.1	RPHASCH2410_CH03655
cds2991	WP_016733114.1	RPHASCH2410_CH03660
cds2996	WP_004674119.1	RPHASCH2410_CH12170
cds3019	WP_016734499.1	RPHASCH2410_CH12290
cds3020	WP_010058543.1	RPHASCH2410_CH12295
cds3027	WP_016734492.1	RPHASCH2410_CH12335
cds3028	WP_016734491.1	RPHASCH2410_CH12340
cds3062	WP_080956154.1	RPHASCH2410_CH12525
cds3063	WP_004669522.1	RPHASCH2410_CH12530
cds3071	WP_012483072.1	RPHASCH2410_CH12570
cds3076	WP_046977107.1	RPHASCH2410_CH12595
cds3077	WP_012483077.1	RPHASCH2410_CH12600
cds3080	WP_016734459.1	RPHASCH2410_CH12615
cds3084	WP_016734456.1	RPHASCH2410_CH12635
cds3085	WP_016734455.1	RPHASCH2410_CH12640
cds3112	WP_004676036.1	RPHASCH2410_CH12775
cds3113	WP_016734430.1	RPHASCH2410_CH12780
cds3114	WP_016734429.1	RPHASCH2410_CH12785
cds3118	WP_029531569.1	RPHASCH2410_CH12805
cds3124	WP_016734422.1	RPHASCH2410_CH12830
cds3143	WP_016734409.1	RPHASCH2410_CH12930
cds3144	WP_029531567.1	RPHASCH2410_CH12935
cds3145	WP_010025457.1	RPHASCH2410_CH12940
cds3176	WP_016734385.1	RPHASCH2410_CH13100
cds3211	WP_016734358.1	RPHASCH2410_CH13285
cds3217	WP_016734352.1	RPHASCH2410_CH13325
cds3218	WP_016734351.1	RPHASCH2410_CH13330
cds3225	WP_016734345.1	RPHASCH2410_CH13370
cds3226	WP_004670343.1	RPHASCH2410_CH13380
cds3230	WP_016734344.1	RPHASCH2410_CH13400
cds3244	WP_010035016.1	RPHASCH2410_CH13465
cds3254	WP_039751042.1	RPHASCH2410_CH13515
cds3256	WP_012483227.1	RPHASCH2410_CH13525
cds3265	WP_016734320.1	RPHASCH2410_CH13570
cds3272	WP_010009317.1	RPHASCH2410_CH13605
cds3285	WP_016734306.1	RPHASCH2410_CH13675
cds3299	WP_003574261.1	RPHASCH2410_CH13750
cds3301	WP_004675049.1	RPHASCH2410_CH13760
cds3302	WP_012483260.1	RPHASCH2410_CH13765
cds3306	WP_016734296.1	RPHASCH2410_CH13785
cds3312	WP_029531551.1	RPHASCH2410_CH13815
cds3335	WP_016734272.1	RPHASCH2410_CH13925
cds3336	WP_016734271.1	RPHASCH2410_CH13930
cds3341	WP_016734266.1	RPHASCH2410_CH13955
cds3342	WP_016734265.1	RPHASCH2410_CH13960
cds3343	WP_016734264.1	RPHASCH2410_CH13965
cds3349	WP_029531548.1	RPHASCH2410_CH14000
cds3350	WP_016734257.1	RPHASCH2410_CH14005
cds3352	WP_016734256.1	RPHASCH2410_CH14015
cds3354	WP_004680498.1	RPHASCH2410_CH14025
cds3355	WP_004680499.1	RPHASCH2410_CH14030
cds3358	WP_016734253.1	RPHASCH2410_CH14040
cds3384	WP_029531544.1	RPHASCH2410_CH14170
cds3388	WP_004680549.1	RPHASCH2410_CH14190
cds3389	WP_016734230.1	RPHASCH2410_CH14195
cds3390	WP_016734229.1	RPHASCH2410_CH14200
cds3391	WP_046977115.1	RPHASCH2410_CH14205
cds3401	WP_046977116.1	RPHASCH2410_CH14250
cds3402	WP_012483336.1	RPHASCH2410_CH14255
cds3403	WP_029531540.1	RPHASCH2410_CH14260
cds3404	WP_016734217.1	RPHASCH2410_CH14265
cds3405	WP_016734216.1	RPHASCH2410_CH14270
cds3409	WP_004673739.1	RPHASCH2410_CH14290
cds3415	WP_029531536.1	RPHASCH2410_CH14315
cds3423	WP_016734203.1	RPHASCH2410_CH14355
cds3426	WP_016734201.1	RPHASCH2410_CH14370
cds3441	WP_012483354.1	RPHASCH2410_RS14060
cds3458	WP_004674116.1	RPHASCH2410_CH14525
cds3475	WP_080956159.1	RPHASCH2410_CH14610
cds3484	WP_046977121.1	RPHASCH2410_CH14645
cds3521	WP_080515661.1	RPHASCH2410_CH14830
cds3527	WP_012484718.1	RPHASCH2410_CH14860
cds3529	WP_016733755.1	RPHASCH2410_CH14870
cds3531	WP_016733756.1	RPHASCH2410_CH14880
cds3534	WP_012484723.1	RPHASCH2410_CH14895
cds3535	WP_029531442.1	RPHASCH2410_CH14900
cds3547	WP_012484733.1	RPHASCH2410_CH14960
cds3558	WP_016733781.1	RPHASCH2410_CH15015
cds3569	WP_016733789.1	RPHASCH2410_CH15070
cds3576	WP_029531450.1	RPHASCH2410_CH15110
cds3583	WP_012484826.1	RPHASCH2410_CH15145
cds3584	WP_016733800.1	RPHASCH2410_CH15150
cds3585	WP_012484827.1	RPHASCH2410_CH15155
cds3591	WP_016733803.1	RPHASCH2410_CH15185
cds3592	WP_016733804.1	RPHASCH2410_CH15190
cds3622	WP_011426430.1	RPHASCH2410_CH15345
cds3623	WP_016733829.1	RPHASCH2410_CH15350
cds3686	WP_046977124.1	RPHASCH2410_CH15665
cds3687	WP_016733877.1	RPHASCH2410_CH15670
cds3696	WP_012484941.1	RPHASCH2410_CH15710
cds3708	WP_016733890.1	RPHASCH2410_CH15770
cds3709	WP_016733891.1	RPHASCH2410_CH15775
cds3710	WP_080956157.1	RPHASCH2410_CH15780
cds3736	WP_029531484.1	RPHASCH2410_CH15910
cds3737	WP_016733917.1	RPHASCH2410_CH15915
cds3738	WP_016733918.1	RPHASCH2410_CH15920
cds3740	WP_004673032.1	RPHASCH2410_CH15930
cds3741	WP_016733919.1	RPHASCH2410_CH15935
cds3767	WP_004675671.1	RPHASCH2410_CH16065
cds3768	WP_004675675.1	RPHASCH2410_CH16070
cds3769	WP_037116131.1	RPHASCH2410_CH16075
cds3770	WP_004675679.1	RPHASCH2410_CH16080
cds3776	WP_016733935.1	RPHASCH2410_CH16110
cds3787	WP_004675735.1	RPHASCH2410_CH16165
cds3788	WP_029531492.1	RPHASCH2410_CH16170
cds3789	WP_012484996.1	RPHASCH2410_CH16175
cds3796	WP_016733946.1	RPHASCH2410_CH16210
cds3797	WP_004675748.1	RPHASCH2410_CH16215
cds3798	WP_029531493.1	RPHASCH2410_CH16220
cds3805	WP_016733952.1	RPHASCH2410_CH16255
cds3806	WP_016733953.1	RPHASCH2410_CH16260
cds3811	WP_016733957.1	RPHASCH2410_CH16285
cds3821	WP_016733963.1	RPHASCH2410_CH16335
cds3822	WP_029531495.1	RPHASCH2410_CH16340
cds3823	WP_016733965.1	RPHASCH2410_CH16345
cds3824	WP_011426608.1	RPHASCH2410_CH16350
cds3825	WP_016733966.1	RPHASCH2410_CH16355
cds3830	WP_016733971.1	RPHASCH2410_CH16380
cds3837	WP_012485039.1	RPHASCH2410_CH16415
cds3852	WP_016737122.1	RPHASCH2410_CH16520
