Geneid	logFC	logCPM	F	PValue	adj.PVal	FDR	Locus	ID
cds851	-0.12262780236179	10.9013365108081	5.08009167566393	0.0453722473964818	0.0598290693581876	0.0598290693581876	RPHASCH2410_PC00535	WP_046977167.1
cds1200	-0.331701752128313	3.66520932859297	5.07922560789112	0.0453875835738081	0.0598290693581876	0.0598290693581876	RPHASCH2410_PD00035	WP_016735372.1
cds755	-0.258189743042788	3.65577781950444	5.07879074620415	0.0453952863952051	0.0598290693581876	0.0598290693581876	RPHASCH2410_PC00060	WP_016737533.1
cds4816	-0.21086898714135	4.10362326673096	5.07413660422848	0.0454778256391845	0.059916755145184	0.059916755145184	RPHASCH2410_CH04865	WP_016736474.1
cds4348	1.28558980099809	7.03649044319841	7.74057875346189	0.0456064579618817	0.0600650852045473	0.0600650852045473	RPHASCH2410_CH19045	WP_016733580.1
cds244	-0.146128466496101	6.64836317589481	5.05870591856291	0.0457527851651964	0.0602366074123568	0.0602366074123568	RPHASCH2410_PA01210	WP_016737054.1
cds3241	0.363950430978873	3.08497294729103	5.04759653604614	0.045951990072765	0.060477601562011	0.060477601562011		end_range=51707,.
cds2186	0.213185608783788	4.82635435041561	5.03103379508598	0.0462509341682985	0.0608496473082395	0.0608496473082395	RPHASCH2410_PD04950	WP_046977231.1
cds2695	-0.154505598358235	7.2614073200914	5.0032113956494	0.0467584254847936	0.061495708569776	0.061495708569776	RPHASCH2410_CH02120	WP_016732907.1
cds1193	-0.387168945164036	2.46015890889394	4.99114166782951	0.0469806782432728	0.0617663079257359	0.0617663079257359		gbkey=CDS
cds6485	0.148281913384941	6.58614459085612	4.96950690013467	0.0473822740735972	0.062272419893776	0.062272419893776	RPHASCH2410_CH11890	WP_029531601.1
cds136	0.210492511920916	4.07966322927564	4.94535955047781	0.0478354328203747	0.0628459196372981	0.0628459196372981		gbkey=CDS
cds1633	0.233908619355059	4.06294895325987	4.92657209044887	0.0481916421237529	0.0632916899891955	0.0632916899891955	RPHASCH2410_PD02210	WP_046977216.1
cds678	-0.225159544620749	3.52324696892419	4.91997654046223	0.0483174552747854	0.0634346668163878	0.0634346668163878	RPHASCH2410_PB01610	WP_039752217.1
cds4840	-0.191789588324428	4.82493863538843	4.91887533363145	0.0483385000669617	0.0634400440920889	0.0634400440920889		gbkey=CDS
