Geneid	logFC	logCPM	F	PValue	adj.PVal	FDR	Locus	ID
cds505	-1.66412371617524	11.9529165907892	641.000024898154	3.58840176113401e-11	4.7248714837338e-10	4.7248714837338e-10	RPHASCH2410_PB00760	WP_016736771.1
cds6510	-1.84591200471966	8.23543008645489	640.699108436421	3.59761788101558e-11	4.7248714837338e-10	4.7248714837338e-10	RPHASCH2410_RS11740	WP_016734546.1
cds3682	-1.61161433844676	5.94299564343709	639.394378043891	3.63790220075148e-11	4.76107270538908e-10	4.76107270538908e-10	RPHASCH2410_CH15645	WP_016733874.1
cds708	-1.48239250893734	6.2391290707085	637.243359523213	3.70548467017282e-11	4.83262338691877e-10	4.83262338691877e-10	RPHASCH2410_PB01760	WP_016736630.1
cds4612	-1.75745007489074	7.82752171846498	634.818614992387	3.78345171600611e-11	4.91717353229544e-10	4.91717353229544e-10	RPHASCH2410_CH03805	WP_016737244.1
cds2371	-1.25262568799476	8.91748020467137	633.247002167987	3.83502111637808e-11	4.96694949432635e-10	4.96694949432635e-10	RPHASCH2410_CH00450	WP_009996470.1
cds1475	-1.58400198102807	6.4367728521706	632.338405549651	3.8652133107091e-11	4.98429727817782e-10	4.98429727817782e-10	RPHASCH2410_PD01430	WP_046977211.1
cds530	-1.66056874602298	11.1275288434954	631.647435996852	3.88836176165077e-11	4.98429727817782e-10	4.98429727817782e-10	RPHASCH2410_PB00885	WP_016736794.1
cds508	1.86124882728899	6.70876091018635	631.647356701237	3.8883644275392e-11	4.98429727817782e-10	4.98429727817782e-10	RPHASCH2410_PB00775	WP_016736774.1
cds257	1.509544616434	8.03904728624896	630.104937924456	3.94063054164355e-11	5.03405464756717e-10	5.03405464756717e-10	RPHASCH2410_PA01275	WP_016737041.1
cds1658	1.41765864694552	6.02234826805243	629.288668080498	3.96862586138017e-11	5.0525736731789e-10	5.0525736731789e-10	RPHASCH2410_PD02335	WP_016735773.1
cds1592	-1.70519551783537	12.3592529288116	626.663772239432	4.06025548901745e-11	5.15170721877706e-10	5.15170721877706e-10	RPHASCH2410_PD02010	WP_016735714.1
cds229	1.7314556584703	7.87097348976489	623.355071520006	4.17933707541092e-11	5.28363624281264e-10	5.28363624281264e-10	RPHASCH2410_PA01140	WP_004674667.1
cds1262	-2.16003006220651	5.78559188198087	622.997107505575	4.19246584054329e-11	5.28363624281264e-10	5.28363624281264e-10	RPHASCH2410_PD00365	WP_016735429.1
cds1837	-1.37116120925786	6.02741642426732	621.974754283244	4.23023076632676e-11	5.31334018736949e-10	5.31334018736949e-10	RPHASCH2410_PD03230	WP_016735933.1
cds2483	1.5285610838938	8.54398269689335	620.06367155961	4.30190692192048e-11	5.38529685911317e-10	5.38529685911317e-10	RPHASCH2410_CH01050	WP_004669072.1
cds4827	1.55761140938685	6.74455184637855	615.763438051202	4.46849745166622e-11	5.57519532052888e-10	5.57519532052888e-10	RPHASCH2410_CH04920	WP_012485393.1
cds4437	-2.16651425893259	7.80784657056023	693.225198918609	4.53995750418002e-11	5.64553519539728e-10	5.64553519539728e-10	RPHASCH2410_CH19510	WP_029531347.1
cds471	1.15442674181828	8.32293990776527	612.113794106045	4.61588307656652e-11	5.7209438263538e-10	5.7209438263538e-10	RPHASCH2410_RS21785	WP_029531995.1
cds4049	1.33440468885091	7.16639223739627	610.176151040843	4.6964611116206e-11	5.80160196065871e-10	5.80160196065871e-10	RPHASCH2410_CH17530	WP_029531422.1
cds4855	1.23380097165871	8.26085272512858	605.724894534138	4.88794161996075e-11	6.01827811957668e-10	6.01827811957668e-10		WP_004679597.1
cds2242	2.52129900094198	4.13321199875189	603.999914126581	4.96461282697874e-11	6.09263797094473e-10	6.09263797094473e-10	RPHASCH2410_PD05230	WP_029531708.1
cds2080	-1.34068236693222	6.38370883171438	602.249104586086	5.04388772889309e-11	6.16670389167426e-10	6.16670389167426e-10	RPHASCH2410_PD04440	WP_016736134.1
cds4580	-1.3068696109429	7.6287854678516	601.942660534896	5.0579163631953e-11	6.16670389167426e-10	6.16670389167426e-10	RPHASCH2410_CH20225	WP_016733363.1
cds2841	1.71112287817116	5.41211415500401	600.546396103278	5.12242145798475e-11	6.22507257053147e-10	6.22507257053147e-10	RPHASCH2410_CH02880	WP_016732996.1
cds628	1.65004224134527	7.44923965578015	599.643141277034	5.16466765168507e-11	6.25266042919768e-10	6.25266042919768e-10	RPHASCH2410_PB01365	WP_012490476.1
cds522	1.6755640037397	5.58969611033908	599.348598454506	5.17853254889469e-11	6.25266042919768e-10	6.25266042919768e-10	RPHASCH2410_RS22040	WP_016736788.1
cds4341	-1.1604022855131	7.29777664616599	598.698006707878	5.2093135747484e-11	6.26960151456054e-10	6.26960151456054e-10	RPHASCH2410_CH19010	WP_012484472.1
cds2079	-1.65332293914872	9.4276781636572	598.112126714552	5.23721786429512e-11	6.28298284168482e-10	6.28298284168482e-10	RPHASCH2410_PD04435	WP_016736133.1
